rank,NM_MUN,inseg_alim_bin
1,Ouro Branco,0.247
2,Olho d'Água das Flores,0.223
3,Jacuípe,0.218
4,Limoeiro de Anadia,0.213
5,Pariconha,0.211
6,Santa Luzia do Norte,0.163
7,Monteirópolis,0.157
8,Jacaré dos Homens,0.141
9,Novo Lino,0.14
10,Maceió,0.135
11,Estrela de Alagoas,0.134
12,Maravilha,0.134
13,Flexeiras,0.13
14,Penedo,0.13
15,Olivença,0.128
16,Belém,0.124
17,Palmeira dos Índios,0.119
18,Igaci,0.115
19,Carneiros,0.114
20,Cacimbinhas,0.114
21,Senador Rui Palmeira,0.114
22,Marechal Deodoro,0.103
23,Passo de Camaragibe,0.101
24,Joaquim Gomes,0.097
25,Barra de Santo Antônio,0.096
26,Pilar,0.096
27,Quebrangulo,0.095
28,Maragogi,0.089
29,São José da Tapera,0.089
30,Rio Largo,0.086
31,Pão de Açúcar,0.086
32,Piranhas,0.086
33,Porto Real do Colégio,0.085
34,Maribondo,0.082
35,Jequiá da Praia,0.081
36,Poço das Trincheiras,0.08
37,Taquarana,0.075
38,Junqueiro,0.075
39,Paulo Jacinto,0.073
40,Cajueiro,0.072
41,Craíbas,0.071
42,Satuba,0.069
43,Roteiro,0.069
44,Coqueiro Seco,0.068
45,Igreja Nova,0.068
46,Jundiá,0.067
47,Boca da Mata,0.067
48,Olho d'Água do Casado,0.066
49,Delmiro Gouveia,0.065
50,Arapiraca,0.065
