coluna,tipo,pct_na,n_unicos,constante,ano
inseg_alim_bin,float64,100.0,0,False,2023
p.qtd_dormir_freq_dom_part_memb,float64,99.99,7,False,2023
p.qtd_freq_outro_memb,float64,99.99,7,False,2023
p.qtd_dormir_freq_albergue_memb,float64,99.97,7,False,2023
p.nom_pais_origem_pessoa,str,99.97,43,False,2023
p.qtd_dormir_freq_rua_memb,float64,99.94,7,False,2023
p.ind_def_sindrome_down_memb,float64,99.92,1,True,2023
p.ind_ajuda_vizinho_memb,float64,99.91,1,True,2023
p.ind_ajuda_outra_memb,float64,99.89,1,True,2023
p.ind_dormir_rua_memb,float64,99.89,2,False,2023
p.ind_dormir_albergue_memb,float64,99.89,2,False,2023
p.ind_dormir_dom_part_memb,float64,99.89,2,False,2023
p.ind_outro_memb,float64,99.89,2,False,2023
p.ind_motivo_perda_memb,float64,99.89,2,False,2023
p.ind_motivo_ameaca_memb,float64,99.89,2,False,2023
p.ind_motivo_probs_fam_memb,float64,99.89,2,False,2023
p.ind_motivo_alcool_memb,float64,99.89,2,False,2023
p.ind_motivo_desemprego_memb,float64,99.89,2,False,2023
p.ind_motivo_trabalho_memb,float64,99.89,2,False,2023
p.ind_motivo_saude_memb,float64,99.89,2,False,2023
p.ind_motivo_pref_memb,float64,99.89,2,False,2023
p.ind_motivo_outro_memb,float64,99.89,2,False,2023
p.ind_motivo_nao_sabe_memb,float64,99.89,2,False,2023
p.ind_motivo_nao_resp_memb,float64,99.89,2,False,2023
p.cod_vive_fam_rua_memb,float64,99.89,2,False,2023
p.ind_ativ_com_escola_memb,float64,99.89,2,False,2023
p.ind_ativ_com_coop_memb,float64,99.89,2,False,2023
p.ind_ativ_com_mov_soc_memb,float64,99.89,2,False,2023
p.ind_ativ_com_nao_sabe_memb,float64,99.89,2,False,2023
p.ind_ativ_com_nao_resp_memb,float64,99.89,2,False,2023
p.ind_atend_cras_memb,float64,99.89,2,False,2023
p.ind_atend_creas_memb,float64,99.89,2,False,2023
p.ind_atend_centro_ref_rua_memb,float64,99.89,2,False,2023
p.ind_atend_inst_gov_memb,float64,99.89,2,False,2023
p.ind_atend_inst_nao_gov_memb,float64,99.89,2,False,2023
p.ind_atend_hospital_geral_memb,float64,99.89,2,False,2023
p.ind_dinh_const_memb,float64,99.89,2,False,2023
p.ind_dinh_flanelhinha_memb,float64,99.89,2,False,2023
p.ind_dinh_carregador_memb,float64,99.89,2,False,2023
p.ind_dinh_catador_memb,float64,99.89,2,False,2023
p.ind_dinh_servs_gerais_memb,float64,99.89,2,False,2023
p.ind_dinh_pede_memb,float64,99.89,2,False,2023
p.ind_dinh_vendas_memb,float64,99.89,2,False,2023
p.ind_dinh_outro_memb,float64,99.89,2,False,2023
p.ind_dinh_nao_resp_memb,float64,99.89,2,False,2023
p.ind_atend_nenhum_memb,float64,99.89,2,False,2023
p.cod_cart_assinada_memb,float64,99.89,3,False,2023
p.cod_tempo_rua_memb,float64,99.89,6,False,2023
p.cod_tempo_cidade_memb,float64,99.89,6,False,2023
p.cod_contato_parente_memb,float64,99.89,6,False,2023
p.ind_def_surdez_leve_memb,float64,99.79,1,True,2023
p.ind_def_cegueira_memb,float64,99.75,1,True,2023
p.ind_def_surdez_profunda_memb,float64,99.74,1,True,2023
d.cod_reserva_indigena_fam,float64,99.66,9,False,2023
d.nom_reserva_indigena_fam,str,99.66,9,False,2023
p.ind_ajuda_especializado_memb,float64,99.57,1,True,2023
p.ind_ajuda_instituicao_memb,float64,99.48,1,True,2023
d.cod_indigena_reside_fam,float64,99.39,2,False,2023
d.cod_povo_indigena_fam,float64,99.39,31,False,2023
d.nom_povo_indigena_fam,str,99.39,31,False,2023
p.ind_def_baixa_visao_memb,float64,99.09,1,True,2023
d.nom_comunidade_quilombola_fam,str,98.88,77,False,2023
d.cod_comunidade_quilombola_fam,float64,98.88,79,False,2023
p.ind_def_transtorno_mental_memb,float64,98.7,1,True,2023
p.cod_complemento_pessoa,str,98.13,834,False,2023
p.ind_def_mental_memb,float64,98.11,1,True,2023
p.ind_ajuda_nao_memb,float64,96.87,1,True,2023
p.ind_def_fisica_memb,float64,96.13,1,True,2023
p.ind_ajuda_familia_memb,float64,95.77,1,True,2023
d.nom_centro_assist_fam,str,79.39,96,False,2023
d.cod_centro_assist_fam,float64,79.39,109,False,2023
p.cod_agricultura_trab_memb,float64,75.54,2,False,2023
p.cod_principal_trab_memb,float64,75.54,11,False,2023
p.qtd_meses_12_meses_memb,float64,75.35,16,False,2023
p.cod_ano_serie_frequenta_memb,float64,74.36,10,False,2023
p.cod_censo_inep_memb,float64,70.36,7316,False,2023
p.cod_escola_local_memb,float64,68.24,2,False,2023
p.sig_uf_escola_memb,str,68.24,26,False,2023
p.nom_munic_escola_memb,str,68.24,1140,False,2023
p.cod_ibge_munic_escola_memb,float64,68.24,1151,False,2023
p.cod_curso_frequenta_memb,float64,68.23,14,False,2023
p.nom_escola_memb,str,68.23,15922,False,2023
p.cod_afastado_trab_memb,float64,53.9,2,False,2023
p.cod_concluiu_frequentou_memb,float64,52.22,2,False,2023
p.cod_ano_serie_frequentou_memb,float64,52.22,10,False,2023
d.cod_cta_energ_unid_consum_fam,object,52.15,308836,False,2023
p.cod_curso_frequentou_pessoa_memb,float64,49.96,15,False,2023
d.nom_estab_assist_saude_fam,str,48.61,865,False,2023
d.cod_eas_fam,float64,48.61,870,False,2023
p.cod_trabalhou_memb,float64,30.93,2,False,2023
p.cod_trabalho_12_meses_memb,float64,30.93,2,False,2023
p.nom_munic_certid_pessoa,str,25.82,2907,False,2023
p.cod_ibge_munic_certid_pessoa,float64,25.82,3025,False,2023
d.cod_escoa_sanitario_domic_fam,float64,10.45,6,False,2023
p.grau_instrucao,float64,9.33,6,False,2023
d.qtd_pessoa_inter_65_anos_fam,float64,8.58,14,False,2023
d.qtd_pessoa_inter_0_17_anos_fam,float64,8.58,16,False,2023
d.qtd_pessoa_inter_18_64_anos_fam,float64,8.58,18,False,2023
d.cod_agua_canalizada_fam,float64,5.33,2,False,2023
d.cod_banheiro_domic_fam,float64,5.33,2,False,2023
d.cod_calcamento_domic_fam,float64,5.33,3,False,2023
d.cod_abaste_agua_domic_fam,float64,5.33,4,False,2023
d.cod_destino_lixo_domic_fam,float64,5.33,6,False,2023
d.cod_iluminacao_domic_fam,float64,5.33,6,False,2023
d.cod_material_piso_fam,float64,5.33,7,False,2023
d.cod_material_domic_fam,float64,5.33,8,False,2023
d.qtd_comodos_dormitorio_fam,float64,5.33,32,False,2023
d.qtd_comodos_domic_fam,float64,5.33,66,False,2023
d.qtd_familias_domic_fam,float64,0.38,38,False,2023
d.qtd_pessoas_domic_fam,float64,0.38,56,False,2023
p.cod_parentesco_rf_pessoa,float64,0.24,11,False,2023
d.cod_local_domic_fam,float64,0.08,2,False,2023
d.cod_especie_domic_fam,float64,0.08,3,False,2023
p.sig_uf_munic_nasc_pessoa,str,0.04,27,False,2023
p.nom_ibge_munic_nasc_pessoa,str,0.04,3303,False,2023
p.cod_ibge_munic_nasc_pessoa,float64,0.04,3459,False,2023
d.ind_parc_mds_fam,float64,0.02,13,False,2023
p.cod_raca_cor_pessoa,float64,0.01,5,False,2023
ano,int64,0.0,1,True,2023
d.cod_est_cadastral_fam,int64,0.0,2,False,2023
d.marc_pbf,int64,0.0,2,False,2023
d.cod_familia_indigena_fam,int64,0.0,2,False,2023
d.ind_familia_quilombola_fam,int64,0.0,2,False,2023
p.ind_trabalho_infantil_pessoa,int64,0.0,2,False,2023
p.cod_sexo_pessoa,int64,0.0,2,False,2023
p.marc_pbf,int64,0.0,2,False,2023
p.cod_deficiencia_memb,int64,0.0,2,False,2023
p.cod_sabe_ler_escrever_memb,float64,0.0,2,False,2023
p.marc_sit_rua,int64,0.0,2,False,2023
beneficio_social_harmonizado,int64,0.0,2,False,2023
d.cod_forma_coleta_fam,int64,0.0,3,False,2023
p.cod_est_cadastral_memb,int64,0.0,3,False,2023
p.cod_local_nascimento_pessoa,float64,0.0,3,False,2023
d.fx_rfpc,int64,0.0,4,False,2023
p.ind_frequenta_escola_memb,float64,0.0,4,False,2023
d.qtde_meses_desat_cat,int64,0.0,6,False,2023
fx_renda_individual_805,int64,0.0,8,False,2023
fx_renda_individual_808,int64,0.0,8,False,2023
fx_renda_individual_809_1,int64,0.0,8,False,2023
fx_renda_individual_809_2,int64,0.0,8,False,2023
fx_renda_individual_809_3,int64,0.0,8,False,2023
fx_renda_individual_809_4,int64,0.0,8,False,2023
fx_renda_individual_809_5,int64,0.0,8,False,2023
p.fx_idade,int64,0.0,13,False,2023
p.cod_pais_origem_pessoa,int64,0.0,46,False,2023
d.cd_ibge,int64,0.0,102,False,2023
d.val_desp_transpor_fam,float64,0.0,331,False,2023
d.val_desp_gas_fam,float64,0.0,357,False,2023
d.val_desp_agua_esgoto_fam,float64,0.0,509,False,2023
d.val_desp_aluguel_fam,float64,0.0,526,False,2023
d.val_desp_medicamentos_fam,float64,0.0,633,False,2023
d.val_desp_energia_fam,float64,0.0,916,False,2023
d.val_desp_alimentacao_fam,float64,0.0,1584,False,2023
d.dat_atual_fam,str,0.0,2009,False,2023
d.dta_entrevista_fam,str,0.0,2577,False,2023
d.vlr_renda_media_fam,int64,0.0,4563,False,2023
d.dat_cadastramento_fam,str,0.0,5356,False,2023
d.vlr_renda_total_fam,float64,0.0,6582,False,2023
p.dta_nasc_pessoa,str,0.0,34559,False,2023
p.qtd_dormir_freq_dom_part_memb,float64,99.99,7,False,2024
p.qtd_freq_outro_memb,float64,99.98,7,False,2024
p.qtd_dormir_freq_albergue_memb,float64,99.96,7,False,2024
p.nom_pais_origem_pessoa,str,99.96,48,False,2024
p.ind_def_sindrome_down_memb,float64,99.92,1,True,2024
p.ind_ajuda_vizinho_memb,float64,99.92,1,True,2024
p.qtd_dormir_freq_rua_memb,float64,99.91,7,False,2024
p.ind_ajuda_outra_memb,float64,99.88,1,True,2024
p.ind_dormir_rua_memb,float64,99.86,2,False,2024
p.ind_dormir_albergue_memb,float64,99.86,2,False,2024
p.ind_dormir_dom_part_memb,float64,99.86,2,False,2024
p.ind_outro_memb,float64,99.86,2,False,2024
p.ind_motivo_perda_memb,float64,99.86,2,False,2024
p.ind_motivo_ameaca_memb,float64,99.86,2,False,2024
p.ind_motivo_probs_fam_memb,float64,99.86,2,False,2024
p.ind_motivo_alcool_memb,float64,99.86,2,False,2024
