feature,importance
feat_pressao_alimentar,7962
d.cod_cta_energ_unid_consum_fam,6659
d.val_desp_energia_fam,6415
d.dat_cadastramento_fam_dia,5871
p.cod_ibge_munic_certid_pessoa,4776
d.dat_cadastramento_fam_mes,4716
d.dat_cadastramento_fam_ano,4673
d.cd_ibge,4664
d.val_desp_gas_fam,4558
feat_densidade_domiciliar,4537
p.cod_ibge_munic_nasc_pessoa,4420
d.dta_entrevista_fam_dia,4315
d.dat_atual_fam_dia,4268
d.val_desp_agua_esgoto_fam,4152
feat_renda_per_capita,3945
d.vlr_renda_total_fam,3936
d.val_desp_alimentacao_fam,3859
d.vlr_renda_media_fam,3567
d.dat_atual_fam_mes,3215
d.dta_entrevista_fam_mes,3135
d.qtd_comodos_domic_fam,2078
d.qtd_pessoas_domic_fam,1991
d.val_desp_aluguel_fam,1661
p.idade_aprox,1466
d.dat_cadastramento_fam_dia_semana,1319
d.val_desp_medicamentos_fam,1319
p.dta_nasc_pessoa_dia,1297
d.cod_calcamento_domic_fam,1204
p.dta_nasc_pessoa_mes,1111
d.qtd_comodos_dormitorio_fam,966
d.val_desp_transpor_fam,917
d.vlr_renda_total_fam_log1p,754
d.cod_centro_assist_fam,740
p.dta_nasc_pessoa_ano,709
d.vlr_renda_media_fam_log1p,677
d.dta_entrevista_fam_dia_semana,677
d.dat_atual_fam_dia_semana,570
d.cod_local_domic_fam,565
d.cod_agua_canalizada_fam,514
d.cod_escoa_sanitario_domic_fam,509
d.cod_eas_fam_is_missing,434
p.cod_ibge_munic_escola_memb,408
d.cod_abaste_agua_domic_fam,375
d.cod_eas_fam,371
p.qtd_meses_12_meses_memb,366
p.dta_nasc_pessoa_dia_semana,360
d.qtde_meses_desat_cat,343
p.cod_ano_serie_frequentou_memb,318
d.cod_destino_lixo_domic_fam,311
d.cod_centro_assist_fam_is_missing,295
d.marc_pbf,283
d.cod_banheiro_domic_fam,257
d.cod_forma_coleta_fam,255
d.ind_parc_mds_fam,242
d.cod_iluminacao_domic_fam,220
d.cod_material_domic_fam,206
d.dta_entrevista_fam_ano,186
p.cod_local_nascimento_pessoa,185
d.cod_material_piso_fam,170
p.ind_identidade_genero,158
p.grau_instrucao,145
d.nom_comunidade_quilombola_fam,144
p.cod_concluiu_frequentou_memb,136
d.cod_cta_energ_unid_consum_fam_is_missing,135
d.dat_atual_fam_ano,133
p.cod_ano_serie_frequenta_memb,129
d.ind_familia_quilombola_fam,119
p.fx_idade,118
d.qtd_familias_domic_fam,104
p.cod_sabe_ler_escrever_memb,97
p.cod_parentesco_rf_pessoa,94
p.cod_sexo_pessoa,91
p.cod_raca_cor_pessoa,81
d.nom_estab_assist_saude_fam_is_missing,80
fx_renda_individual_805,80
p.cod_ibge_munic_certid_pessoa_is_missing,80
p.cod_curso_frequentou_pessoa_memb,72
fx_renda_individual_809_4,69
d.fx_rfpc,66
d.nom_centro_assist_fam_is_missing,64
p.cod_escola_local_memb,61
p.cod_principal_trab_memb,60
d.dta_entrevista_fam_eh_fim_mes,58
p.cod_curso_frequenta_memb,56
p.cod_complemento_pessoa,56
fx_renda_individual_809_2,56
p.cod_deficiencia_memb,53
p.cod_agricultura_trab_memb,52
p.cod_trabalho_12_meses_memb,49
p.cod_afastado_trab_memb,49
d.cod_escoa_sanitario_domic_fam_is_missing,48
p.cod_trabalhou_memb,44
p.marc_pbf,44
p.ind_frequenta_escola_memb,44
p.sig_uf_munic_nasc_pessoa,41
d.cod_comunidade_quilombola_fam_is_missing,38
fx_renda_individual_808,37
d.qtd_pessoa_inter_18_64_anos_fam,36
p.ind_def_fisica_memb_is_missing,36
d.ind_risco_scl_vlco_drts_is_missing,34
p.cod_curso_frequentou_pessoa_memb_is_missing,30
d.qtd_pessoa_inter_0_17_anos_fam,30
d.cod_especie_domic_fam,27
fx_renda_individual_809_1,27
d.dta_entrevista_fam_eh_inicio_mes,26
p.ind_ajuda_nao_memb_is_missing,25
p.ind_ajuda_familia_memb_is_missing,25
p.ind_identidade_genero_is_missing,24
fx_renda_individual_809_5,23
p.ind_def_cegueira_memb_is_missing,21
p.ind_def_transtorno_mental_memb_is_missing,21
p.cod_ano_serie_frequentou_memb_is_missing,18
p.ind_def_baixa_visao_memb_is_missing,18
d.cod_familia_indigena_fam,16
p.nom_pais_origem_pessoa,15
p.cod_concluiu_frequentou_memb_is_missing,15
p.ind_def_mental_memb_is_missing,13
p.cod_ano_serie_frequenta_memb_is_missing,13
p.nom_munic_certid_pessoa_is_missing,13
p.sig_uf_escola_memb,13
p.ind_def_surdez_profunda_memb_is_missing,12
fx_renda_individual_809_3,11
p.cod_censo_inep_memb,11
p.cod_censo_inep_memb_is_missing,10
p.ind_tipo_identidade_genero_is_missing,10
p.qtd_dormir_freq_dom_part_memb_is_missing,10
p.qtd_freq_outro_memb_is_missing,10
p.ind_ajuda_outra_memb_is_missing,9
p.cod_complemento_pessoa_is_missing,8
feat_pressao_alimentar_is_missing,8
d.nom_reserva_indigena_fam,7
p.cod_agricultura_trab_memb_is_missing,7
p.cod_trabalho_12_meses_memb_is_missing,6
p.marc_sit_rua,6
p.ind_ajuda_especializado_memb_is_missing,6
p.qtd_dormir_freq_rua_memb_is_missing,6
d.qtd_pessoa_inter_65_anos_fam,4
p.ind_ajuda_instituicao_memb_is_missing,3
d.nom_povo_indigena_fam,3
p.cod_afastado_trab_memb_is_missing,3
p.cod_cart_assinada_memb_is_missing,2
p.ind_transgenero_is_missing,2
p.qtd_meses_12_meses_memb_is_missing,2
p.qtd_dormir_freq_albergue_memb_is_missing,1
p.nom_escola_memb_is_missing,1
d.nom_comunidade_quilombola_fam_is_missing,1
p.cod_trabalhou_memb_is_missing,1
p.cod_curso_frequenta_memb_is_missing,1
feat_proporcao_dependentes,1
d.cod_reserva_indigena_fam_is_missing,1
feat_densidade_domiciliar_is_missing,1
d.cod_agua_canalizada_fam_is_missing,1
p.ind_def_surdez_leve_memb_is_missing,1
p.cod_ibge_munic_escola_memb_is_missing,1
p.grau_instrucao_is_missing,1
p.cod_escola_local_memb_is_missing,0
d.dta_entrevista_fam_dia_mes,0
d.dta_entrevista_fam_dia_semana_eh_inicio_mes,0
