cd_ibge,risco_medio,prevalencia_observada,n_familias
2700201,0.03242241466563884,0.039131248829807154,5341
2700300,0.0524187950114603,0.06495092496268488,22109
2700409,0.042078829239363534,0.04833574529667149,6910
2700508,0.07171367281543718,0.09600760456273764,2104
2700607,0.03536004618493098,0.04618473895582329,996
2700706,0.040556450704460865,0.05149833518312986,4505
2700805,0.09835842813980332,0.12445887445887446,1848
2700904,0.027098028524432976,0.03635432667690732,1953
2701001,0.058493619147100134,0.06653931868831582,3141
2701100,0.029957692634226287,0.03197026022304833,2690
2701209,0.09015743585870396,0.11419753086419752,972
2701308,0.05457287472260805,0.07246856386499008,3022
2701357,0.01613868163776936,0.023791250959324637,1303
2701407,0.024281341469259764,0.03247980752706651,5819
2701506,0.010738898814053769,0.011225144323284156,3118
2701605,0.0362153010976368,0.05056669572798605,2294
2701704,0.028277130287737373,0.037037037037037035,1593
2701803,0.08763366109690565,0.11430625449317038,1391
2701902,0.03295933264323181,0.03724928366762178,698
2702009,0.03401615598795921,0.0521978021978022,728
2702108,0.04842089935608268,0.06356889319135205,3099
2702207,0.04858720663544991,0.06832971800433839,922
2702306,0.02300253499308582,0.025017088174982913,7315
2702355,0.05712736526622452,0.07069913589945012,6365
2702405,0.05165218961392381,0.0654922574229294,7039
2702504,0.04124364818895285,0.0568897178829564,4289
2702553,0.08775843751159595,0.1342062193126023,611
2702603,0.03659291885757458,0.03012633624878523,1029
2702702,0.021955720936981865,0.008968609865470852,1115
2702801,0.11051122608704175,0.13020662512299114,3049
2702900,0.03565888194518736,0.04048924504428511,2371
2703007,0.04399559892859058,0.05423406279733587,4204
2703106,0.08886200721722069,0.11458080194410693,8230
2703205,0.055861601759309286,0.06751973863326981,3673
2703304,0.04101067498640793,0.05482546201232033,4870
2703403,0.12027883061853484,0.14148179154457932,2389
2703502,0.1179104063945931,0.2183406113537118,687
2703601,0.06445995215073744,0.06292352371732816,1033
2703700,0.020603069938434006,0.007445141065830721,2552
2703759,0.06573006944767328,0.08079376328844791,1411
2703809,0.06856471551046153,0.0966358839050132,3032
2703908,0.06577099728397046,0.0673076923076923,416
2704005,0.057010313269347676,0.07494908350305499,4910
2704104,0.01541466974455416,0.008499413833528723,3412
2704203,0.07171231133750461,0.21274961597542244,9114
2704302,0.10434431040368666,0.13482933295459926,42246
2704401,0.03834053630138877,0.0163265306122449,2450
2704500,0.07584524075988883,0.08933177022274326,4265
2704609,0.10809039486072401,0.1340833079963515,3289
2704708,0.0826127769639924,0.10274872073540732,22083
2704807,0.05885508352949757,0.08243727598566308,279
2704906,0.07451087735978437,0.059453032104637336,841
2705002,0.01300869332521676,0.01756440281030445,2562
2705101,0.03399681780593641,0.031910484873601326,2413
2705200,0.037843470018634466,0.03928346951602765,3182
2705309,0.021554352769085378,0.005804749340369393,1895
2705408,0.12201054393014288,0.15745079662605435,2134
2705507,0.020833256618436432,0.027870680044593088,4485
2705606,0.10376602411338448,0.14013654329859865,2783
2705705,0.1538041420294941,0.22326589595375723,2768
2705804,0.06299155562843908,0.06550802139037433,1496
2705903,0.051187336266951565,0.029743589743589743,975
2706000,0.06363586538109345,0.1284953395472703,1502
2706109,0.19325062284742178,0.24728321135506764,4509
2706208,0.032905679501350635,0.02635658914728682,645
2706307,0.09192213216422443,0.11949574904720023,17055
2706406,0.05716529263609965,0.08565310492505353,467
2706422,0.1360644217936495,0.21072386058981232,1865
2706448,0.06304374719894101,0.060782241014799156,1892
2706505,0.08310051484269172,0.10141313383208644,1203
2706604,0.039964397891964064,0.07253333333333334,1875
2706703,0.10847504569452807,0.12990287635412776,10708
2706802,0.02610434641476063,0.01805654549774293,4209
2706901,0.06268709204128613,0.09552599758162031,827
2707008,0.049637752429481534,0.011695906432748537,171
2707107,0.06820848876590115,0.08556619520337345,11383
2707206,0.06622394933718596,0.08023483365949119,3066
2707305,0.05626091630822168,0.06047132058692752,2249
2707404,0.03940777426051713,0.03025064822817632,1157
2707503,0.0419757562670444,0.08549136786188578,6024
2707602,0.05810755390931745,0.09468969929622521,1563
2707701,0.07219155665938075,0.08633834741397074,19412
2707800,0.06283071694182318,0.06870229007633588,917
2707909,0.12304150772693112,0.16333725029377202,851
2708006,0.043804213436757077,0.05241090146750524,954
2708105,0.026208034894554807,0.026813880126182965,1902
2708204,0.018109308478552043,0.006617038875103391,1209
2708303,0.02156016230944302,0.03207427727368643,4739
2708402,0.07160729840502637,0.08908305714572662,9957
2708501,0.048032830310338115,0.04548872180451128,2660
2708600,0.039751993916687746,0.04773869346733668,796
2708709,0.025240287280886585,0.01639344262295082,427
2708808,0.04852798055460522,0.06007951700780445,6791
2708907,0.04334962019100709,0.06873614190687362,451
2708956,0.040911046288508626,0.11351819757365685,4616
2709004,0.015724280831496046,0.007097497198356369,2677
2709103,0.0447816204834872,0.07526588491955277,3667
2709152,0.03603073219048668,0.04401304090100771,6748
2709202,0.02731758963738435,0.03144573692956666,7823
2709301,0.04200798591763806,0.055727832456968225,22251
