feature,importance
p.cod_ibge_munic_certid_pessoa,1362
p.cod_ibge_munic_nasc_pessoa,1040
d.dat_cadastramento_fam_mes,757
d.cd_ibge,599
d.dat_atual_fam_mes,592
d.dta_entrevista_fam_mes,530
d.cod_cta_energ_unid_consum_fam,439
d.val_desp_energia_fam,361
feat_pressao_alimentar,337
d.cod_centro_assist_fam,330
feat_densidade_domiciliar,314
d.val_desp_agua_esgoto_fam,279
d.vlr_renda_total_fam,226
d.dat_cadastramento_fam_dia,219
d.dat_cadastramento_fam_dia_semana,212
d.dat_cadastramento_fam_ano,209
d.dat_atual_fam_dia,201
d.val_desp_alimentacao_fam,192
feat_renda_per_capita,188
d.cod_eas_fam,186
d.qtd_pessoas_domic_fam,176
d.val_desp_gas_fam,166
d.vlr_renda_media_fam,163
d.dta_entrevista_fam_dia,159
p.dta_nasc_pessoa_mes,150
p.cod_ibge_munic_escola_memb,138
d.cod_abaste_agua_domic_fam,129
d.cod_escoa_sanitario_domic_fam,129
d.val_desp_aluguel_fam,117
d.ind_parc_mds_fam,115
d.qtd_comodos_domic_fam,113
d.dta_entrevista_fam_dia_semana,111
d.val_desp_transpor_fam,99
d.dat_atual_fam_dia_semana,99
d.cod_calcamento_domic_fam,86
d.val_desp_medicamentos_fam,84
d.cod_destino_lixo_domic_fam,83
d.qtde_meses_desat_cat,78
p.grau_instrucao,64
d.cod_local_domic_fam,61
p.dta_nasc_pessoa_ano,58
d.dta_entrevista_fam_ano,57
p.idade_aprox,54
d.cod_material_piso_fam,54
d.cod_iluminacao_domic_fam,48
d.vlr_renda_media_fam_log1p,44
p.cod_ano_serie_frequentou_memb,42
d.vlr_renda_total_fam_log1p,41
d.cod_material_domic_fam,39
d.qtd_comodos_dormitorio_fam,39
p.ind_frequenta_escola_memb,34
p.dta_nasc_pessoa_dia,30
p.cod_parentesco_rf_pessoa,29
p.cod_raca_cor_pessoa,29
d.cod_agua_canalizada_fam,28
p.cod_ano_serie_frequenta_memb,26
d.qtd_familias_domic_fam,26
d.nom_comunidade_quilombola_fam,26
d.cod_eas_fam_is_missing,24
d.dat_atual_fam_ano,24
p.dta_nasc_pessoa_dia_semana,23
p.cod_local_nascimento_pessoa,17
p.cod_curso_frequenta_memb,17
p.cod_deficiencia_memb,17
p.cod_curso_frequentou_pessoa_memb,16
d.ind_familia_quilombola_fam,16
d.cod_banheiro_domic_fam,15
d.marc_pbf,15
d.fx_rfpc,15
p.qtd_meses_12_meses_memb,13
d.cod_centro_assist_fam_is_missing,13
d.qtd_pessoa_inter_18_64_anos_fam,13
fx_renda_individual_809_1,12
fx_renda_individual_805,10
p.cod_principal_trab_memb,9
d.cod_cta_energ_unid_consum_fam_is_missing,8
p.ind_def_transtorno_mental_memb_is_missing,8
p.sig_uf_munic_nasc_pessoa,8
p.cod_complemento_pessoa,8
d.cod_forma_coleta_fam,8
d.qtd_pessoa_inter_0_17_anos_fam,7
p.cod_escola_local_memb,7
d.nom_estab_assist_saude_fam_is_missing,6
fx_renda_individual_808,6
p.ind_identidade_genero,6
p.marc_pbf,5
d.cod_comunidade_quilombola_fam_is_missing,5
p.cod_trabalho_12_meses_memb,5
d.cod_escoa_sanitario_domic_fam_is_missing,3
d.dta_entrevista_fam_eh_fim_mes,3
p.cod_ibge_munic_certid_pessoa_is_missing,3
d.cod_familia_indigena_fam,2
p.ind_ajuda_instituicao_memb_is_missing,2
fx_renda_individual_809_4,2
p.cod_agricultura_trab_memb,2
p.ind_def_fisica_memb_is_missing,2
p.cod_cart_assinada_memb_is_missing,2
p.cod_sexo_pessoa,2
d.nom_centro_assist_fam_is_missing,2
p.cod_sabe_ler_escrever_memb,2
p.fx_idade,2
d.dta_entrevista_fam_eh_inicio_mes,2
p.cod_trabalhou_memb,2
p.cod_complemento_pessoa_is_missing,1
p.ind_def_baixa_visao_memb_is_missing,1
p.cod_contato_parente_memb_is_missing,1
p.ind_def_mental_memb_is_missing,1
p.ind_tipo_identidade_genero_is_missing,1
p.cod_censo_inep_memb_is_missing,1
p.cod_ano_serie_frequentou_memb_is_missing,1
p.cod_ano_serie_frequenta_memb_is_missing,1
p.cod_concluiu_frequentou_memb,1
p.marc_sit_rua,1
p.cod_afastado_trab_memb,1
fx_renda_individual_809_5,1
fx_renda_individual_809_2,1
p.ind_def_cegueira_memb_is_missing,1
feat_proporcao_dependentes,0
d.dta_entrevista_fam_ano_eh_fim_mes,0
p.ind_motivo_perda_memb_is_missing,0
d.dta_entrevista_fam_ano_ano,0
d.dta_entrevista_fam_ano_mes,0
p.ind_motivo_pref_memb_is_missing,0
d.dta_entrevista_fam_ano_dia,0
p.ind_motivo_probs_fam_memb_is_missing,0
p.ind_outro_memb_is_missing,0
p.ind_motivo_saude_memb_is_missing,0
p.sig_uf_escola_memb_is_missing,0
p.qtd_meses_12_meses_memb_is_missing,0
p.qtd_freq_outro_memb_is_missing,0
p.qtd_dormir_freq_rua_memb_is_missing,0
p.qtd_dormir_freq_dom_part_memb_is_missing,0
p.qtd_dormir_freq_albergue_memb_is_missing,0
p.ind_motivo_trabalho_memb_is_missing,0
p.nom_pais_origem_pessoa_is_missing,0
p.nom_munic_escola_memb_is_missing,0
p.nom_munic_certid_pessoa_is_missing,0
p.nom_escola_memb_is_missing,0
p.ind_transgenero_is_missing,0
d.dta_entrevista_fam_ano_dia_semana,0
d.dta_entrevista_fam_eh_fim_mes_dia,0
d.dta_entrevista_fam_ano_eh_inicio_mes,0
d.dta_entrevista_fam_mes_ano,0
d.dta_entrevista_fam_eh_fim_mes_mes,0
p.ind_motivo_nao_sabe_memb_is_missing,0
d.dta_entrevista_fam_eh_fim_mes_dia_semana,0
d.dta_entrevista_fam_eh_fim_mes_eh_fim_mes,0
d.dta_entrevista_fam_eh_fim_mes_eh_inicio_mes,0
d.dta_entrevista_fam_eh_inicio_mes_ano,0
d.dta_entrevista_fam_eh_inicio_mes_mes,0
d.dta_entrevista_fam_eh_inicio_mes_dia,0
d.dta_entrevista_fam_eh_inicio_mes_dia_semana,0
d.dta_entrevista_fam_eh_inicio_mes_eh_fim_mes,0
d.dta_entrevista_fam_eh_inicio_mes_eh_inicio_mes,0
feat_densidade_domiciliar_is_missing,0
feat_pressao_alimentar_is_missing,0
d.cod_est_cadastral_fam,0
d.cod_especie_domic_fam,0
d.dta_entrevista_fam_eh_fim_mes_ano,0
d.dta_entrevista_fam_dia_semana_eh_inicio_mes,0
d.dta_entrevista_fam_dia_semana_eh_fim_mes,0
d.dta_entrevista_fam_dia_mes,0
d.dta_entrevista_fam_mes_mes,0
d.dta_entrevista_fam_mes_dia,0
d.dta_entrevista_fam_mes_dia_semana,0
d.dta_entrevista_fam_mes_eh_fim_mes,0
d.dta_entrevista_fam_mes_eh_inicio_mes,0
d.dta_entrevista_fam_dia_ano,0
d.dta_entrevista_fam_dia_dia,0
d.dta_entrevista_fam_dia_semana_dia_semana,0
d.dta_entrevista_fam_dia_dia_semana,0
