feature,mean_abs_shap,group
d.cod_centro_assist_fam,0.7709857261643608,Territorial
d.cd_ibge,0.23763046213772446,Territorial
p.cod_ibge_munic_nasc_pessoa,0.14597335483440488,Territorial
p.cod_ibge_munic_certid_pessoa,0.09672222150712505,Territorial
p.cod_deficiencia_memb,0.08589983482415905,Other
d.dta_entrevista_fam_ano,0.07992042441847141,Temporal
d.val_desp_energia_fam,0.07021744083197673,Socioeconomic
d.ind_parc_mds_fam,0.06668284889683503,Other
d.cod_eas_fam,0.06573479764856911,Territorial
d.qtde_meses_desat_cat,0.06424349876519539,Temporal
p.cod_complemento_pessoa,0.06271477134850587,Other
d.vlr_renda_media_fam,0.061859443058294286,Socioeconomic
d.val_desp_aluguel_fam,0.058062009309851545,Socioeconomic
p.ind_frequenta_escola_memb,0.05624509965056803,Territorial
p.cod_ano_serie_frequentou_memb,0.05545912647234988,Temporal
d.cod_abaste_agua_domic_fam,0.05264656313670221,Socioeconomic
p.ind_def_transtorno_mental_memb_is_missing,0.052527301411743006,Other
d.dat_cadastramento_fam_mes,0.046375001761145854,Temporal
p.grau_instrucao,0.045100953380624684,Other
p.cod_principal_trab_memb,0.04238083591332954,Other
feat_renda_per_capita,0.041917657970029866,Socioeconomic
d.dat_atual_fam_ano,0.034175638521634105,Temporal
d.cod_cta_energ_unid_consum_fam,0.03325941265803968,Other
d.cod_material_piso_fam,0.03258373387626289,Socioeconomic
d.val_desp_agua_esgoto_fam,0.032551622526429354,Socioeconomic
feat_densidade_domiciliar,0.03156787210611345,Socioeconomic
d.dat_atual_fam_mes,0.030772274378137794,Temporal
d.dat_cadastramento_fam_ano,0.030765490978074805,Temporal
d.cod_escoa_sanitario_domic_fam,0.029625462023893368,Socioeconomic
d.cod_destino_lixo_domic_fam,0.029238160200189066,Socioeconomic
d.dta_entrevista_fam_mes,0.02891100650265561,Temporal
p.cod_ibge_munic_escola_memb,0.026963861077054996,Territorial
p.cod_ano_serie_frequenta_memb,0.026069634264492412,Temporal
